Account,City,Orders,Gross Sales,Last Ordered,Owner
Sparkboro,New York,7,47859.50,2026-09-21,S. Lindqvist
Smoking Scholars LLC,Bronx,10,46937.00,2026-09-15,J. Brady
Firehaus,Potsdam,14,46813.69,2026-09-18,J. Brady
Weedly NYC,Brooklyn,14,44947.63,2026-09-14,M. Okafor
BX Buddiez,Bronx,7,43585.24,2026-09-13,M. Okafor
The Bakery,Cohoes,8,42529.50,2026-09-19,S. Lindqvist
Torches NYC,New York,29,40334.00,2026-09-03,M. Okafor
Chronic Brooklyn,Brooklyn,20,38819.50,2026-09-21,M. Okafor
Ganja Palace Dispensary,Johnstown,13,38503.00,2026-09-12,J. Brady
Happy Alta Ridgewood,Ridgewood,13,37792.00,2026-09-22,S. Lindqvist
Society House,Brooklyn,12,37600.00,2026-09-09,J. Brady
Polanco Brothers Ridgewood,Ridgewood,21,37463.00,2026-08-25,S. Lindqvist
Ripe Cannabis,Schenectady,18,36500.28,2026-08-08,M. Okafor
Canna Planet Dispensary Kingston,Kingston,7,36443.00,2026-09-10,A. Torres
Air City Cannabis,Utica,14,36365.00,2026-09-21,M. Okafor
Capital District Cannabis & Wellness Albany,Albany,6,36067.00,2026-09-11,J. Brady
NugHub NY,Staten Island,6,35987.47,2026-07-21,M. Okafor
Cannabis Realm White Plains,White Plains,6,35405.29,2026-08-30,M. Okafor
Crush,Albany,6,34081.00,2026-09-10,M. Okafor
Seaweed RBNY,Arverne,9,33552.00,2026-09-19,M. Okafor
Canterra Buffalo,Buffalo,6,33055.00,2026-09-08,A. Torres
Silver Cannabis Company Lake George,Lake George,8,32721.50,2026-09-12,M. Okafor
Aroma Farms,Bayside,14,32551.50,2026-09-19,J. Brady
Forever 420,Brooklyn,13,32429.74,2026-09-16,S. Lindqvist
Long Island Cannabis Club,Deer Park,8,32101.00,2026-09-08,A. Torres
Liquid Monkey,Jamestown,9,31616.42,2026-09-16,J. Brady
Indoor Treez Howard Beach,Howard Beach,5,29866.55,2026-09-22,M. Okafor
3rd Rock Cannabis,South Glens Falls,19,29846.00,2026-09-16,J. Brady
Thrive Syracuse,Syracuse,13,29469.08,2026-09-21,S. Lindqvist
Terminal 420,Rosedale,6,29109.00,2026-09-08,A. Torres
Smiley Exotics,New York,28,29102.50,2026-09-11,J. Brady
Canna Family,Howard Beach,9,28985.58,2026-09-02,S. Lindqvist
Tap Root Family,Skaneateles,8,28057.21,2026-09-18,M. Okafor
Northern Lights Dispensary - Menands,Menands,28,26945.00,2026-09-10,J. Brady
Hold Up Roll Up Albany,Albany,3,26731.00,2026-06-01,A. Torres
Blissful Buds,Binghamton,12,26549.00,2026-09-21,J. Brady
Elevation Headquarters,New York,6,26479.00,2026-08-31,M. Okafor
Transcend Wellness,Troy,3,26031.04,2026-08-22,M. Okafor
Goldleaf Cannabis,Hudson,5,25598.54,2026-09-09,M. Okafor
Just A Little Higher Troy,Troy,6,25557.18,2026-08-30,A. Torres
Healthy Choice Seaview LLC,New York,13,25334.50,2026-09-09,J. Brady
Canna Planet Dispensary Ellenville,Ellenville,5,25153.05,2026-09-20,M. Okafor
JFK Cannabis,Jamaica,8,24080.00,2026-09-07,M. Okafor
Victory Dispensary,Bronx,4,23968.54,2026-08-27,A. Torres
Toke Cannabis Westchester,Yonkers,3,23622.53,2026-07-02,M. Okafor
Good Grades,Jamaica,8,23205.00,2026-09-13,M. Okafor
Casa Verde Dispensary,Troy,7,21559.50,2026-09-10,A. Torres
Flynnstoned Ridge Rd,Rochester,5,21106.70,2026-09-17,J. Brady
Ganja Express Dispensary,Yorkville,5,21066.50,2026-08-26,J. Brady
New Metro,Bayside,16,20910.50,2026-09-13,S. Lindqvist
420 Bliss,Troy,4,20565.00,2026-08-18,A. Torres
The Canna Guy LLC,Central Square,4,20530.00,2026-09-06,M. Okafor
Command Cannabis,Blasdell,16,19723.00,2026-09-16,S. Lindqvist
Dazed  New York,New York,3,19674.50,2026-06-15,M. Okafor
High Class Smokes Inc,,8,19584.59,2026-09-10,A. Torres
Renaissant NYC,Sunnyside,5,19502.05,2026-08-23,J. Brady
Valley Greens LTD,Peekskill,5,19398.00,2026-09-21,S. Lindqvist
Munchies Dispensary,Rockaway Beach,12,19200.00,2026-09-16,M. Okafor
The THC Shop Rosedale,Rosedale,7,19171.00,2026-09-03,M. Okafor
Flynnstoned Auburn,Auburn,7,18637.00,2026-08-31,A. Torres
Canna Planet Dispensary Newburgh,Newburgh,7,18570.58,2026-09-15,S. Lindqvist
Green Apple,Brooklyn,11,17730.00,2026-09-20,A. Torres
The THC Shop Brooklyn,Brooklyn,4,17521.02,2026-08-16,S. Lindqvist
Hell's Kitchen Cannabis Company,New York,3,17234.02,2026-07-01,A. Torres
The Goodie Bag,Elmira,6,17100.52,2026-08-31,J. Brady
Herbwell Bronx,Bronx,5,17097.50,2026-09-03,S. Lindqvist
Royale Flower Dispensary,Albany,7,17006.50,2026-08-19,M. Okafor
Just A Little Higher Murray Hill,New York,6,16860.00,2026-09-22,J. Brady
Canna Planet Dispensary Monticello,Monticello,4,16544.50,2026-09-01,J. Brady
Secret Garden 716,Buffalo,15,16510.50,2026-09-21,J. Brady
The Cannabis Place,Middle VIllage,15,16298.00,2026-09-22,J. Brady
Bloom Brothers NY,Menands,6,15938.00,2026-09-06,M. Okafor
Flynnstoned Baytowne,Webster,4,15766.00,2026-08-11,M. Okafor
County Road Cannabis,New Hampton,14,15720.00,2026-09-18,J. Brady
NYC Bud Long Island City,Long Island City,4,15666.00,2026-08-25,J. Brady
Legacy Dispensary,Colonie,10,15486.00,2026-09-11,M. Okafor
Mrs. Green's CANNAry,Batavia,3,15375.00,2026-05-18,A. Torres
TheFlavorFactory,Niagara,2,15196.94,2026-07-29,A. Torres
Carry-On Cannabis,Niagara Falls,6,15156.00,2026-09-08,S. Lindqvist
Chesterfield Cannabis Co.,Keeseville,11,15033.50,2026-09-07,A. Torres
Green Comfort,Rochester,4,14968.00,2026-08-23,J. Brady
Windy Hill Wellness,Greenwich,5,14587.50,2026-08-24,M. Okafor
Flynnstoned North Syracuse,North Syracuse,4,14338.50,2026-08-17,S. Lindqvist
Flynnstoned Staten Island,Staten Island,5,14265.72,2026-08-29,J. Brady
Cannabis Realm Rockland County,Spring Valley,4,14200.32,2026-09-15,M. Okafor
Bronx Joint,Bronx,12,13581.00,2026-09-21,S. Lindqvist
Flynnstoned Rochester,Rochester,4,13314.51,2026-08-27,J. Brady
The Plug,Brooklyn,5,13105.55,2026-09-20,A. Torres
Electric City Cannabis Co LLC,Schenectady,4,13061.50,2026-09-08,A. Torres
Fireleaf,Brooklyn,9,12976.00,2026-09-18,M. Okafor
ESH Jamaica,Jamaica,6,12811.50,2026-09-11,J. Brady
Madame Jane Dispensary,Schenectady,4,12750.00,2026-08-23,J. Brady
Grounded,Poughkeepsie,3,12575.17,2026-09-07,S. Lindqvist
Two Buds Dispensary,Bronx,3,12140.00,2026-09-18,M. Okafor
Rise Halfmoon,,3,12060.50,2026-09-02,M. Okafor
Studio 57 NY,Staten Island,5,12047.00,2026-09-03,S. Lindqvist
Just A Little Higher Queens Plaza,Troy,5,11874.00,2026-09-21,M. Okafor
Cloud Nine Legal Cannabis Dispensary,Yonkers,7,11760.58,2026-09-20,S. Lindqvist
SessCo East Rochester,East Rochester,5,11570.00,2026-09-10,S. Lindqvist
Middletown Indoor Cannabis Co,Wallkill,3,11556.50,2026-08-23,J. Brady
House of Strains,Flushing,10,11408.00,2026-09-13,J. Brady
The Green Door Dispensary,Ogdensburg,4,11370.05,2026-09-02,J. Brady
The Bridge A Cannabis Experience,Astoria,5,11319.05,2026-09-06,S. Lindqvist
Mills Cannabis,New Hartford,3,11306.50,2026-09-09,S. Lindqvist
Browncroft Budz,Rochester,4,11120.00,2026-09-04,A. Torres
Joint Jungle,Liberty,4,10975.00,2026-08-29,J. Brady
QUBE,New York,8,10933.50,2026-04-28,A. Torres
Gotham Buds,New York,5,10814.09,2026-08-22,M. Okafor
Happy Times Cannabis Co Union Rd,Cheektowaga,5,10668.56,2026-09-18,S. Lindqvist
Nuna Harvest LLC,Mount Vernon,2,10502.50,2026-09-15,A. Torres
58 GP AVENUE LLC,Brooklyn,2,10398.02,2026-09-18,J. Brady
Twisted Vibration,Brooklyn,6,10221.00,2026-09-20,M. Okafor
Just Breathe Fingerlakes,Seneca Falls,4,10150.02,2026-08-21,A. Torres
BK Exotic,Brooklyn,6,9924.00,2026-08-27,J. Brady
The Flowery,Staten Island,3,9924.00,2026-09-14,A. Torres
Jungle Kingdom,Brooklyn,4,9899.00,2026-09-05,S. Lindqvist
Budd Barn Herkimer,Herkimer,3,9711.00,2026-08-15,S. Lindqvist
BESTBUDZ,Buffalo,9,9555.00,2026-09-17,J. Brady
Hold Up Roll Up Brooklyn,Brooklyn,3,9553.00,2026-08-20,J. Brady
Rise East Syracuse,,3,9449.00,2026-08-29,S. Lindqvist
Catskill Mountain High,Kingston,4,9350.00,2026-08-22,J. Brady
Flynnstoned Syracuse,Syracuse,4,9330.50,2026-09-10,J. Brady
Fumi Dispensary LLC,Queens Village,6,8954.50,2026-09-20,S. Lindqvist
Toke Lane Buffalo,Buffalo,4,8913.53,2026-09-16,A. Torres
WILDE ROOTS DISPENSARY,Castleton,3,8885.00,2026-09-20,S. Lindqvist
Stashmaster,Brooklyn,4,8840.00,2026-09-03,M. Okafor
Bleu Leaf Dispensary Inc.,Bronx,4,8683.02,2026-08-03,M. Okafor
Gaslight Dispensary,Staten Island,5,8535.00,2026-08-23,A. Torres
Just A Little Higher - Troy,Troy,8,8532.00,2026-09-05,S. Lindqvist
Joint Venture Cannabis Dispensary,Medford,4,8495.00,2026-09-16,J. Brady
FUFA LLC,Evans Mills,2,8203.50,2026-08-15,S. Lindqvist
Lucky Green Ladies,Kingston,12,8148.00,2026-09-11,S. Lindqvist
Rise Henrietta,,3,8014.50,2026-08-19,M. Okafor
Late Bloomers NYC,Ridgewood,5,7998.50,2026-09-06,M. Okafor
Ether,Buffalo,22,7959.00,2026-08-03,J. Brady
NYC Bud Midtown,New York,3,7807.00,2026-08-16,J. Brady
Misha's Flower Shop,Brooklyn,11,7800.00,2026-09-11,J. Brady
HII,Brooklyn,11,7787.50,2026-09-18,A. Torres
Flynnstoned - Baytowne,Webster,14,7446.00,2026-09-21,S. Lindqvist
Silver Cannabis Company Albany,Albany,2,7170.83,2026-07-28,A. Torres
Dansville Dispensary,Dansville,3,6317.53,2026-08-30,J. Brady
Green Flower Wellness - Queens,GLEN OAKS,4,6160.00,2026-09-09,A. Torres
Happy Times Cannabis Co - Buffalo,Buffalo,5,6055.00,2026-08-28,S. Lindqvist
"AMSTERDAM CANNABIS, INC.",Amsterdam,2,6034.00,2026-09-09,M. Okafor
Purple Buds,Jackson Heights,4,6008.50,2026-09-10,A. Torres
Tru Cannabis,New York,3,5970.03,2026-09-03,J. Brady
NY CJ Ball Inc.,Vestal,3,5953.00,2026-09-20,S. Lindqvist
Toke Lane - Buffalo,Buffalo,11,5940.00,2026-09-16,M. Okafor
Purple Plains,Pound Ridge,11,5840.00,2026-09-11,J. Brady
Starlife Dispensary,White Plains,5,5705.01,2026-09-18,M. Okafor
Higher Tolerance,albany,3,5629.03,2026-09-20,M. Okafor
Strong Strains,East Setauket,5,5610.00,2026-09-02,M. Okafor
Canna Health,Rush,2,5313.50,2026-08-07,J. Brady
"Frass Box Cannabis, LLC",Bronx,2,5255.50,2026-09-17,S. Lindqvist
Happy Leaf Cannabis Store,Cheektowaga,6,4889.50,2026-09-03,J. Brady
Sesh NYC,Bronx,2,4634.00,2026-09-05,M. Okafor
NYC Bud - Midtown,New York,8,4428.00,2026-09-17,M. Okafor
Windy Hill Wellness Glens Falls,Glens Falls,3,4395.00,2026-07-27,S. Lindqvist
The THC Shop - Rosedale,Rosedale,12,4081.00,2026-09-18,S. Lindqvist
Happy Times Cannabis Co Niagara Falls,Niagara Falls,2,4020.00,2026-06-16,S. Lindqvist
Hazy Daze,Waverly,3,3972.00,2026-09-03,J. Brady
Hand in Bush,Brooklyn,2,3835.01,2026-08-05,J. Brady
Kushmart - Brooklyn,Brooklyn,6,3612.50,2026-09-16,S. Lindqvist
Liberty Buds,New York,6,3461.50,2026-09-18,M. Okafor
Tiki Leaves,Brooklyn,10,2989.00,2026-09-13,S. Lindqvist
Canterra - Buffalo,Buffalo,2,2905.00,2026-03-30,A. Torres
Happy Times Cannabis Co - Niagara Falls,Niagara Falls,5,2717.00,2026-08-27,S. Lindqvist
Kings House of Fire,Cortlandt Manor,3,2604.00,2026-09-20,A. Torres
Green Flower Wellness - Oakland Gardens,OAKLAND GARDEN,7,2583.00,2026-09-11,S. Lindqvist
Farmers Choice Dispensary,Fishkill,5,2506.00,2026-08-23,S. Lindqvist
The Greenery,Latham,4,2408.00,2026-09-19,J. Brady
"Highlife Health, LLC",New Rochelle,5,2322.50,2026-09-08,A. Torres
Flower Power Dispensers Maspeth,Maspeth,2,2315.01,2026-04-09,J. Brady
Be.,Staten Island,3,2205.00,2026-09-06,A. Torres
High Tidez,Brooklyn,1,2189.50,2026-07-06,M. Okafor
PRYZM,New York,2,1980.00,2026-07-19,A. Torres
Herbwell Manhattan,New York,1,1875.00,2026-06-01,S. Lindqvist
Flower City Dispensary Inc.,Victor,6,1778.00,2026-09-02,S. Lindqvist
NYC Bud - Long Island City,Long Island City,5,1770.50,2026-09-07,J. Brady
Canna Planet Dispensary - Monticello,Monticello,4,1764.00,2026-08-26,J. Brady
Canna Buddha,Bayside,3,1754.00,2026-09-06,J. Brady
Sweet Life,New York,5,1316.00,2026-09-02,J. Brady
Just Breathe - Binghamton,Binghamton,3,947.50,2026-08-23,M. Okafor
Loudpack Exotics,Syracuse,2,771.00,2026-09-02,A. Torres
Silver Cannabis Company - Saratoga Springs,Saratoga Springs,2,241.00,2026-07-12,S. Lindqvist
Just Breathe - Fingerlakes,Seneca Falls,1,210.00,2026-05-30,A. Torres
The Station,Beacon,2,168.00,2026-09-09,J. Brady
The Chronic Dispensary,Albany,3,0.04,2026-09-14,A. Torres
