Retailer,License Number,Order #,Order Date,Fulfillment Status,Brand,Product,Units,Unit Price,Net Sales,Payment Terms,Sales Rep,Market
High Society Dispensary LLC,OCM-CAURD-24-000171,931283,2026-06-15,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Watermelon Skittlez,150,5.00,750.00,Net 15,A. Torres,New York
High Society Dispensary LLC,OCM-CAURD-24-000171,931283,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Tahiti Breeze,50,15.00,750.00,Net 30,S. Lindqvist,New York
High Society Dispensary LLC,OCM-CAURD-24-000171,931283,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Zlushi,100,3.50,350.00,Net 30,M. Okafor,New York
High Society Dispensary LLC,OCM-CAURD-24-000171,931283,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Blue Nerds,200,3.50,700.00,Net 15,J. Brady,New York
High Society Dispensary LLC,OCM-CAURD-24-000171,931283,2026-06-15,Delivered,Dragonfly,Dragonfly | 100mg Gummy (25ct) | Pineapple,50,5.00,250.00,Net 15,S. Lindqvist,New York
High Society Dispensary LLC,OCM-CAURD-24-000171,931283,2026-06-15,Delivered,Dragonfly,Dragonfly | 100mg Gummy (25ct) | Strawberry,50,5.00,250.00,Net 30,J. Brady,New York
Toke Lane Buffalo,OCM-RETL-24-000132,931279,2026-06-15,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Lychee Dream,50,5.00,250.00,Net 30,M. Okafor,New York
Toke Lane Buffalo,OCM-RETL-24-000132,931279,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Blue Nerds,100,3.50,350.00,Net 30,S. Lindqvist,New York
Toke Lane Buffalo,OCM-RETL-24-000132,931279,2026-06-15,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Strawberry Cough,50,5.00,250.00,Net 30,A. Torres,New York
Toke Lane Buffalo,OCM-RETL-24-000132,931279,2026-06-15,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Forbidden Fruit,50,5.00,250.00,Net 30,M. Okafor,New York
Toke Lane Buffalo,OCM-RETL-24-000132,931279,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Tahiti Lime,100,3.50,350.00,COD,S. Lindqvist,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Zlushi,400,3.50,1400.00,Net 30,M. Okafor,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Blue Nerds,400,3.50,1400.00,Net 30,J. Brady,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Strawberry Kiwi,25,15.00,375.00,Net 15,M. Okafor,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | 2.5g Preroll Multipack (0.5g) | Blue Nerds,50,12.50,625.00,Net 30,A. Torres,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | Infused Multipack 10pk (1.25g) | Sugar Cookie,20,40.00,800.00,Net 30,A. Torres,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | Infused Multipack 10pk (1.25g) | Blue Razz,20,40.00,800.00,Net 30,M. Okafor,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly Display Kit - Backboard,1,0.01,0.01,Net 30,J. Brady,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Watermelon Skittlez,25,15.00,375.00,COD,A. Torres,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Berry White,300,3.50,1050.00,Net 15,A. Torres,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Tahiti Lime,500,3.50,1750.00,Net 30,M. Okafor,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | 2.5g Preroll Multipack (0.5g) | Pandora's Box,50,12.50,625.00,Net 30,S. Lindqvist,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Banana Bash,25,15.00,375.00,Net 15,M. Okafor,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Electric Watermelon OG,25,15.00,375.00,Net 15,J. Brady,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | Infused Multipack 10pk (1.25g) | S'mores,40,40.00,1600.00,COD,M. Okafor,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Tahiti Breeze,50,15.00,750.00,COD,A. Torres,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Sutter,300,3.50,1050.00,Net 15,S. Lindqvist,New York
Leafy Peaks,OCM-CAURD-24-000099,931266,2026-06-15,Delivered,Dragonfly,Dragonfly | 14g Preroll Multipack | Pandora's Box,60,44.00,2640.00,Net 30,A. Torres,New York
Mills Cannabis,OCM-RETL-24-000110,931241,2026-06-15,Delivered,Dragonfly,Levitate | 100mg Live Resin Gummy (25ct) | Pineapple,100,7.50,750.00,COD,J. Brady,New York
Mills Cannabis,OCM-RETL-24-000110,931241,2026-06-15,Delivered,Dragonfly,Levitate | 100mg Live Resin Gummy (25ct) | Cherry,100,7.50,750.00,Net 15,J. Brady,New York
Mills Cannabis,OCM-RETL-24-000110,931241,2026-06-15,Delivered,Dragonfly,Levitate | 100mg Live Resin Gummy (25ct) | Watermelon,100,7.50,750.00,Net 30,M. Okafor,New York
Mills Cannabis,OCM-RETL-24-000110,931241,2026-06-15,Delivered,Dragonfly,Levitate | 100mg Live Resin Gummy (25ct) | Grape,100,7.50,750.00,Net 15,M. Okafor,New York
Mills Cannabis,OCM-RETL-24-000110,931241,2026-06-15,Delivered,Dragonfly,Levitate | 100mg Live Resin Gummy (25ct) | Sour Apple,100,7.50,750.00,Net 30,M. Okafor,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Melon Gum,100,5.00,500.00,Net 30,J. Brady,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Apple Tart,100,5.00,500.00,Net 30,A. Torres,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 100mg Gummy (25ct) | Strawberry,100,5.00,500.00,Net 30,M. Okafor,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Lemon Cherry,100,5.00,500.00,COD,S. Lindqvist,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Naka | 1g Vape Cart (50ct) | Blue Razz Vibe,50,5.00,250.00,Net 15,M. Okafor,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | Infused Multipack 10pk (1.25g) | Melon Gum,20,40.00,800.00,Net 15,S. Lindqvist,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Electric Watermelon OG,50,15.00,750.00,Net 30,M. Okafor,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 100mg Gummy (25ct) | Pineapple,75,5.00,375.00,Net 30,A. Torres,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Mystery OG,50,15.00,750.00,Net 30,M. Okafor,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 100mg Gummy (25ct) | Blue Razz,100,5.00,500.00,COD,S. Lindqvist,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Naka | 1g Vape Cart (50ct) | Watermelon Smash,100,5.00,500.00,Net 30,J. Brady,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Blackberry Sherbet,100,5.00,500.00,Net 30,S. Lindqvist,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Strawberry Kiwi,50,15.00,750.00,Net 15,J. Brady,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 2.5g Preroll Multipack (0.5g) | Tahiti Lime,25,12.50,312.50,Net 15,A. Torres,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | Infused Multipack 10pk (1.25g) | S'mores,20,40.00,800.00,Net 30,A. Torres,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 100mg Gummy (25ct) | Pineapple,25,5.00,125.00,COD,S. Lindqvist,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 100mg Gummy (25ct) | Grape,100,5.00,500.00,Net 30,M. Okafor,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 2.5g Preroll Multipack (0.5g) | Pandora's Box,25,12.50,312.50,Net 15,M. Okafor,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 100mg Gummy (25ct) | Green Apple,100,5.00,500.00,COD,S. Lindqvist,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 2.5g Preroll Multipack (0.5g) | Sutter,25,12.50,312.50,Net 15,M. Okafor,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Passion Orange Guava,100,5.00,500.00,COD,S. Lindqvist,New York
The Herb Cave,OCM-RETL-24-000208,931194,2026-06-14,Delivered,Dragonfly,Dragonfly | Infused Multipack 10pk (1.25g) | Strawberry Kiwi,20,40.00,800.00,Net 30,J. Brady,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Dragonfly | Flower | 28g | Blue Dream,10,80.00,800.00,Net 15,M. Okafor,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Blue Nerds,50,3.50,175.00,COD,J. Brady,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Popcorn | 14g | Cherry Gushers,10,50.00,500.00,Net 30,M. Okafor,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Tahiti Lime,50,3.50,175.00,Net 30,A. Torres,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Dragonfly | 2.5g Preroll Multipack (0.5g) | Berry White,25,12.50,312.50,Net 30,S. Lindqvist,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Dragonfly | 2.5g Preroll Multipack (0.5g) | Sutter,25,12.50,312.50,Net 15,J. Brady,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Dragonfly | 2.5g Preroll Multipack (0.5g) | Tahiti Lime,25,12.50,312.50,Net 30,A. Torres,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Strawberry Kiwi,25,15.00,375.00,Net 15,A. Torres,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Dragonfly | Flower | 3.5g | Trop,50,12.00,600.00,Net 15,M. Okafor,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Dragonfly | 2.5g Preroll Multipack (0.5g) | Blue Nerds,25,12.50,312.50,Net 15,A. Torres,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Naka | 1g Vape Cart (50ct) | Blue Razz Vibe,200,5.00,1000.00,COD,S. Lindqvist,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Dragonfly | Flower | 3.5g | Pandora's Box,25,12.00,300.00,Net 30,S. Lindqvist,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Zlushi,50,3.50,175.00,Net 30,M. Okafor,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Naka | 1g Vape Cart (50ct) | Watermelon Smash,500,5.00,2500.00,COD,A. Torres,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Tahiti Breeze,25,15.00,375.00,Net 30,S. Lindqvist,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Lychee Dream,25,15.00,375.00,Net 30,A. Torres,New York
Transcend Wellness,OCM-CAURD-24-000133,931157,2026-06-13,Delivered,Dragonfly,Dragonfly | Flower | 28g | Nappa,20,80.00,1600.00,Net 15,S. Lindqvist,New York
The Plug,OCM-CAURD-24-000210,931075,2026-06-12,Delivered,Dragonfly,Dragonfly Display Kit - Preroll,1,0.01,0.01,Net 15,J. Brady,New York
The Plug,OCM-CAURD-24-000210,931075,2026-06-12,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Tahiti Lime,50,3.50,175.00,COD,J. Brady,New York
The Plug,OCM-CAURD-24-000210,931075,2026-06-12,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Lychee Dream,50,5.00,250.00,Net 15,S. Lindqvist,New York
The Plug,OCM-CAURD-24-000210,931075,2026-06-12,Delivered,Dragonfly,Dragonfly | 14g Preroll Multipack | Pandora's Box,10,44.00,440.00,Net 30,J. Brady,New York
The Plug,OCM-CAURD-24-000210,931075,2026-06-12,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Blue Nerds,50,3.50,175.00,Net 30,M. Okafor,New York
The Plug,OCM-CAURD-24-000210,931075,2026-06-12,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Melon Gum,50,5.00,250.00,COD,S. Lindqvist,New York
The Plug,OCM-CAURD-24-000210,931075,2026-06-12,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Zlushi,50,3.50,175.00,Net 30,S. Lindqvist,New York
The Plug,OCM-CAURD-24-000210,931075,2026-06-12,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Apple Tart,50,5.00,250.00,Net 30,A. Torres,New York
The Plug,OCM-CAURD-24-000210,931075,2026-06-12,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Sutter,50,3.50,175.00,COD,A. Torres,New York
The Plug,OCM-CAURD-24-000210,931075,2026-06-12,Delivered,Dragonfly,Dragonfly | 14g Preroll Multipack | Nascar,10,44.00,440.00,COD,J. Brady,New York
Ganja Palace Dispensary,OCM-RETL-24-000089,931056,2026-06-12,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Lychee Dream,50,5.00,250.00,Net 15,J. Brady,New York
Ganja Palace Dispensary,OCM-RETL-24-000089,931056,2026-06-12,Delivered,Dragonfly,Naka | 1g Vape Cart (50ct) | Watermelon Smash,50,5.00,250.00,Net 30,S. Lindqvist,New York
Ganja Palace Dispensary,OCM-RETL-24-000089,931056,2026-06-12,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Blue Nerds,49,3.50,171.50,Net 30,J. Brady,New York
Ganja Palace Dispensary,OCM-RETL-24-000089,931056,2026-06-12,Delivered,Dragonfly,Dragonfly | Infused Multipack 10pk (1.25g) | Pineapple Upside Down Cake,19,40.00,760.00,Net 30,J. Brady,New York
Ganja Palace Dispensary,OCM-RETL-24-000089,931056,2026-06-12,Delivered,Dragonfly,Dragonfly | Infused Multipack 10pk (1.25g) | Blackberry Sherbet,19,40.00,760.00,Net 30,J. Brady,New York
Ganja Palace Dispensary,OCM-RETL-24-000089,931056,2026-06-12,Delivered,Dragonfly,Dragonfly | Infused Multipack 10pk (1.25g) | Strawberry Kiwi,19,40.00,760.00,Net 15,M. Okafor,New York
Ganja Palace Dispensary,OCM-RETL-24-000089,931056,2026-06-12,Delivered,Dragonfly,Dragonfly | Infused Multipack 10pk (1.25g) | Apple Tart,19,40.00,760.00,Net 30,J. Brady,New York
Ganja Palace Dispensary,OCM-RETL-24-000089,931056,2026-06-12,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Melon Gum,50,5.00,250.00,COD,S. Lindqvist,New York
Ganja Palace Dispensary,OCM-RETL-24-000089,931056,2026-06-12,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Lemon Cherry,50,5.00,250.00,Net 30,A. Torres,New York
Ganja Palace Dispensary,OCM-RETL-24-000089,931056,2026-06-12,Delivered,Dragonfly,Naka | 1g Vape Cart (50ct) | Blue Razz Vibe,49,5.00,245.00,COD,A. Torres,New York
3rd Rock Cannabis,OCM-RETL-24-000209,931014,2026-06-12,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Melon Gum,400,5.00,2000.00,Net 30,A. Torres,New York
King of Budz,OCM-CAURD-25-000289,930590,2026-06-09,Delivered,Dragonfly,Levitate | 100mg Live Resin Gummy (25ct) | Sour Apple,25,7.50,187.50,Net 15,J. Brady,New York
King of Budz,OCM-CAURD-25-000289,930590,2026-06-09,Delivered,Dragonfly,Levitate | 100mg Live Resin Gummy (25ct) | Cherry,25,7.50,187.50,Net 15,M. Okafor,New York
King of Budz,OCM-CAURD-25-000289,930589,2026-06-09,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Melon Gum,50,5.00,250.00,Net 30,A. Torres,New York
King of Budz,OCM-CAURD-25-000289,930589,2026-06-09,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Banana Bash,75,15.00,1125.00,Net 15,J. Brady,New York
King of Budz,OCM-CAURD-25-000289,930589,2026-06-09,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Berry White,100,3.50,350.00,COD,A. Torres,New York
King of Budz,OCM-CAURD-25-000289,930589,2026-06-09,Delivered,Dragonfly,Dragonfly | 1g All-In-One Vape | Lychee Dream,25,15.00,375.00,Net 30,S. Lindqvist,New York
King of Budz,OCM-CAURD-25-000289,930589,2026-06-09,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Zlushi,100,3.50,350.00,Net 30,A. Torres,New York
King of Budz,OCM-CAURD-25-000289,930589,2026-06-09,Delivered,Dragonfly,Dragonfly | 1g Vape Cart (50ct) | Blackberry Kush,50,12.50,625.00,Net 30,M. Okafor,New York
King of Budz,OCM-CAURD-25-000289,930589,2026-06-09,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Blue Nerds,100,3.50,350.00,Net 15,S. Lindqvist,New York
King of Budz,OCM-CAURD-25-000289,930589,2026-06-09,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Tahiti Lime,100,3.50,350.00,Net 15,S. Lindqvist,New York
King of Budz,OCM-CAURD-25-000289,930589,2026-06-09,Delivered,Dragonfly,Dragonfly | 1g Vape Cart (50ct) | Unicorn Piss,50,12.50,625.00,COD,S. Lindqvist,New York
King of Budz,OCM-CAURD-25-000289,930589,2026-06-09,Delivered,Dragonfly,Dragonfly | 1g Vape Cart (50ct) | Forbidden Fruit,50,12.50,625.00,COD,A. Torres,New York
King of Budz,OCM-CAURD-25-000289,930589,2026-06-09,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Strawberry Cough,50,5.00,250.00,Net 15,A. Torres,New York
King of Budz,OCM-CAURD-25-000289,930589,2026-06-09,Delivered,Dragonfly,Dragonfly | 1.25g Infused Preroll | Forbidden Fruit,50,5.00,250.00,Net 15,S. Lindqvist,New York
House of Strains,OCM-CAURD-24-000123,930585,2026-06-09,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Berry White,99,3.50,346.50,Net 15,M. Okafor,New York
House of Strains,OCM-CAURD-24-000123,930585,2026-06-09,Delivered,Dragonfly,Dragonfly | 1g Vape Cart (50ct) | Forbidden Fruit,50,12.50,625.00,COD,M. Okafor,New York
House of Strains,OCM-CAURD-24-000123,930585,2026-06-09,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Tahiti Lime,100,3.50,350.00,COD,J. Brady,New York
House of Strains,OCM-CAURD-24-000123,930585,2026-06-09,Delivered,Dragonfly,Dragonfly | 1g Vape Cart (50ct) | Unicorn Piss,50,12.50,625.00,Net 30,J. Brady,New York
House of Strains,OCM-CAURD-24-000123,930585,2026-06-09,Delivered,Dragonfly,Dragonfly | 1g Preroll (50ct) | Zlushi,100,3.50,350.00,Net 15,M. Okafor,New York
